Date,Total.Streams,Abreviatted
2017-11-22,75317508,US
2017-11-23,65557639,US
2017-11-24,59522334,US
2017-11-25,63128766,US
2017-11-26,63947555,US
2017-11-27,68792101,US
2017-11-28,70590773,US
2017-11-29,71577276,US
2017-11-30,71897905,US
2017-12-01,78739998,US
2017-12-02,74821485,US
2017-12-03,69055525,US
2017-12-04,74140169,US
2017-12-05,75520473,US
2017-12-06,74604168,US
2017-12-07,76161706,US
2017-12-08,78947775,US
2017-12-09,74960497,US
2017-12-10,68218490,US
2017-12-11,71587944,US
2017-12-12,74799141,US
2017-12-13,74486114,US
2017-12-14,74848940,US
2017-12-15,81951623,US
2017-12-16,77425591,US
2017-12-17,68280546,US
2017-12-18,73333719,US
2017-12-19,75411081,US
2017-12-20,75651806,US
2017-12-21,76117683,US
2017-12-22,86676763,US
2017-12-23,80593659,US
2017-12-24,84078970,US
2017-12-25,92597380,US
2017-12-26,61526681,US
2017-12-27,66523519,US
2017-12-28,66809585,US
2017-12-29,66770720,US
2017-12-30,64881280,US
2017-12-31,66976646,US
2018-01-01,65659022,US
2018-01-02,64321503,US
2018-01-03,68233039,US
2018-01-04,67375215,US
2018-01-05,72543992,US
2018-01-06,68731397,US
2018-01-07,63714918,US
2018-01-08,70243576,US
2018-01-09,73133736,US
2018-01-10,74065933,US
2018-01-11,75097135,US
2018-01-12,77988044,US
2018-01-13,72016945,US
2018-01-14,64837730,US
2018-01-15,67849622,US
2018-01-16,71042413,US
2018-01-17,71154958,US
2018-01-18,72873699,US
2018-01-19,75901078,US
2018-01-20,74628193,US
2018-01-21,68309833,US
2018-01-22,75292200,US
2018-01-23,76630224,US
2018-01-24,78057758,US
2018-01-25,78588477,US
2018-01-26,95670409,US
2018-01-27,83276694,US
2018-01-28,73301903,US
2018-01-29,79382135,US
2018-01-30,81493637,US
2018-01-31,80865807,US
2018-02-01,79683331,US
2018-02-02,84244478,US
2018-02-03,76739967,US
2018-02-04,69926344,US
2018-02-05,69164455,US
2018-02-06,77214754,US
2018-02-07,76872973,US
2018-02-08,76901225,US
2018-02-09,87142703,US
2018-02-10,80970349,US
2018-02-11,71552695,US
2018-02-12,78911707,US
2018-02-13,80203967,US
2018-02-14,80282089,US
2018-02-15,79278471,US
2018-02-16,83822853,US
2018-02-17,76731932,US
2018-02-18,69912798,US
2018-02-19,74113459,US
2018-02-20,78547072,US
2018-02-21,79468193,US
2018-02-22,77960264,US
2018-02-23,87828408,US
2018-02-24,81240071,US
2018-02-25,73908548,US
2018-02-26,81670900,US
2018-02-27,83685709,US
2018-02-28,83238917,US
2018-03-01,82566870,US
2018-03-02,86242473,US
2018-03-03,80424883,US
2018-03-04,72836602,US
2018-03-05,77576320,US
2018-03-06,79997329,US
2018-03-07,78336691,US
2018-03-08,78462400,US
2018-03-09,95690387,US
2018-03-10,84999118,US
2018-03-11,76036040,US
2018-03-12,80275380,US
2018-03-13,79250694,US
2018-03-14,78960010,US
2018-03-15,79261568,US
2018-03-16,91657934,US
2018-03-17,82354996,US
2018-03-18,73925439,US
2018-03-19,81764858,US
2018-03-20,83173648,US
2018-03-21,80542680,US
2018-03-22,81510657,US
2018-03-23,85796210,US
2018-03-24,77935557,US
2018-03-25,70173171,US
2018-03-26,77279336,US
2018-03-27,77710358,US
2018-03-28,78496003,US
2018-03-29,79239036,US
2018-03-30,94828154,US
2018-03-31,83128990,US
2018-04-01,71343385,US
2018-04-02,81434221,US
2018-04-03,81469447,US
2018-04-04,81123022,US
2018-04-05,80141696,US
2018-04-06,87740781,US
2018-04-07,82455866,US
2018-04-08,75151199,US
2018-04-09,84234706,US
2018-04-10,83835581,US
2018-04-11,85607768,US
2018-04-12,85919881,US
2018-04-13,91718895,US
2018-04-14,82490903,US
2018-04-15,71737535,US
2018-04-16,81270196,US
2018-04-17,86078024,US
2018-04-18,86310562,US
2018-04-19,84742496,US
2018-04-20,125578492,US
2018-04-21,103939867,US
2018-04-22,87956621,US
2018-04-23,97163606,US
2018-04-24,96351075,US
2018-04-25,92269279,US
2018-04-26,90595946,US
2018-04-27,128430503,US
2018-04-28,111563013,US
2018-04-29,95490323,US
2018-04-30,106767035,US
2018-05-01,104719277,US
2018-05-02,100701076,US
2018-05-03,98066671,US
2018-05-04,101445211,US
2018-05-05,89490004,US
2018-05-06,78807606,US
2018-05-07,90322554,US
2018-05-08,91107558,US
2018-05-09,91184691,US
2018-05-10,89914268,US
2018-05-11,96198366,US
2018-05-12,84178087,US
2018-05-13,73449248,US
2018-05-14,83685476,US
2018-05-15,84977475,US
2018-05-16,84210704,US
2018-05-17,83894288,US
2018-05-18,88684061,US
2018-05-19,77697474,US
2018-05-20,70795465,US
2018-05-21,80141039,US
2018-05-22,82006788,US
2018-05-23,84026001,US
2018-05-24,83651316,US
2018-05-25,97760116,US
2018-05-26,82585371,US
2018-05-27,71517866,US
2018-05-28,72088458,US
2018-05-29,79969854,US
2018-05-30,81590028,US
2018-05-31,81278527,US
2018-06-01,83526511,US
2018-06-02,90958108,US
2018-06-03,79284623,US
2018-06-04,85295778,US
2018-06-05,86250027,US
2018-06-06,85629984,US
2018-06-07,84887363,US
2018-06-08,88849150,US
2018-06-09,83875146,US
2018-06-10,75611101,US
2018-06-11,82663597,US
2018-06-12,84110965,US
2018-06-13,83020419,US
2018-06-14,83153686,US
2018-06-15,84026739,US
2018-06-16,80254640,US
2018-06-17,70221409,US
2018-06-18,80352241,US
2018-06-19,107505140,US
2018-06-20,94192300,US
2018-06-21,90402635,US
2018-06-22,92421833,US
2018-06-23,83920348,US
2018-06-24,76432368,US
2018-06-25,82313475,US
2018-06-26,82461440,US
2018-06-27,80716444,US
2018-06-28,81534334,US
2018-06-29,153010690,US
2018-06-30,126310515,US
2018-07-01,101199949,US
2018-07-02,104208184,US
2018-07-03,101206404,US
2018-07-04,99354103,US
2018-07-05,89882614,US
2018-07-06,93817938,US
2018-07-07,87495058,US
2018-07-08,81050352,US
2018-07-09,89488383,US
2018-07-10,90336036,US
2018-07-11,91853916,US
2018-07-12,94584983,US
2018-07-13,100540865,US
2018-07-14,92061935,US
2018-07-15,81616003,US
2018-07-16,88389765,US
2018-07-17,87161791,US
2018-07-18,86857041,US
2018-07-19,86666028,US
2018-07-20,88573779,US
2018-07-21,81814919,US
2018-07-22,74043816,US
2018-07-23,80879584,US
2018-07-24,82482966,US
2018-07-25,80899084,US
2018-07-26,80827125,US
2018-07-27,83608966,US
2018-07-28,79389207,US
2018-07-29,73020673,US
2018-07-30,77872072,US
2018-07-31,78558300,US
2018-08-01,78108881,US
2018-08-02,77876288,US
2018-08-03,118059628,US
2018-08-04,97704372,US
2018-08-05,84543180,US
2018-08-06,87979455,US
2018-08-07,86713220,US
2018-08-08,84416483,US
2018-08-09,83444537,US
2018-08-10,91203229,US
2018-08-11,84340449,US
2018-08-12,75593678,US
2018-08-13,80207360,US
2018-08-14,79800802,US
2018-08-15,79275808,US
2018-08-16,79964443,US
2018-08-17,93431958,US
2018-08-18,83163674,US
2018-08-19,76071920,US
2018-08-20,80951523,US
2018-08-21,82526231,US
2018-08-22,82372825,US
2018-08-23,81932053,US
2018-08-24,84656602,US
2018-08-25,78297700,US
2018-08-26,73141260,US
2018-08-27,77855187,US
2018-08-28,79590007,US
2018-08-29,79009158,US
2018-08-30,79684012,US
2018-08-31,100549508,US
2018-09-01,89717498,US
2018-09-02,78475942,US
2018-09-03,78947128,US
2018-09-04,87316265,US
2018-09-05,86480552,US
2018-09-06,84891736,US
2018-09-07,88151027,US
2018-09-08,85103963,US
2018-09-09,73230778,US
2018-09-10,80742695,US
2018-09-11,80850341,US
2018-09-12,82136726,US
2018-09-13,82926099,US
2018-09-14,87797348,US
2018-09-15,79610441,US
2018-09-16,71583681,US
2018-09-17,80086764,US
2018-09-18,82871107,US
2018-09-19,84012906,US
2018-09-20,84727629,US
2018-09-21,90440793,US
2018-09-22,81020388,US
2018-09-23,71999800,US
2018-09-24,80137696,US
2018-09-25,81516497,US
2018-09-26,82183288,US
2018-09-27,80638805,US
2018-09-28,131662766,US
2018-09-29,102614248,US
2018-09-30,83003842,US
2018-10-01,92734863,US
2018-10-02,91150986,US
2018-10-03,89940582,US
2018-10-04,88511959,US
2018-10-05,102891580,US
2018-10-06,86158247,US
2018-10-07,73699706,US
2018-10-08,82404592,US
2018-10-09,84920547,US
2018-10-10,83118166,US
2018-10-11,84394365,US
2018-10-12,95542315,US
2018-10-13,80264761,US
2018-10-14,72266753,US
2018-10-15,81670765,US
2018-10-16,83110599,US
2018-10-17,85832177,US
2018-10-18,84996006,US
2018-10-19,101084501,US
2018-10-20,84253456,US
2018-10-21,74678211,US
2018-10-22,84922095,US
2018-10-23,85820334,US
2018-10-24,85005376,US
2018-10-25,85997728,US
